FKcontinent_id,country_name,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
Asia,Afghanistan,39835428,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,0.5,64.83,0.511
Europe,Albania,2872934,104.871,38.0,13.188,8.643,11803.431,304.195,10.08,2.89,78.57,0.795
Africa,Algeria,44616626,17.348,29.1,6.211,3.857,13913.839,278.364,6.73,1.9,76.88,0.748
Europe,Andorra,77354,163.755,,,,,109.135,7.97,,83.73,0.868
Africa,Angola,33933611,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,,61.15,0.581
North America,Anguilla,15125,,,,,,,,,81.88,
North America,Antigua and Barbuda,98728,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,3.8,77.02,0.778
South America,Argentina,45605823,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845
Asia,Armenia,2968128,102.931,35.7,11.232,7.571,8787.58,341.01,7.11,4.2,75.09,0.776
North America,Aruba,107195,584.8,41.2,13.085,7.452,35973.781,,11.62,,76.29,
Oceania,Australia,25788217,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,3.84,83.44,0.944
Europe,Austria,9043072,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,7.37,81.54,0.922
Asia,Azerbaijan,10223344,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,4.7,73.0,0.756
North America,Bahamas,396914,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,2.9,73.92,0.814
Asia,Bahrain,1748295,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,2.0,77.29,0.852
Asia,Bangladesh,166303494,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,0.8,72.59,0.632
North America,Barbados,287708,664.463,39.8,14.952,9.473,16978.068,170.05,13.57,5.8,79.19,0.814
Europe,Belarus,9442867,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,11.0,74.79,0.823
Europe,Belgium,11632334,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,5.64,81.63,0.931
North America,Belize,404915,16.426,25.0,3.853,2.279,7824.362,176.957,17.11,1.3,74.62,0.716
Africa,Benin,12451031,99.11,18.8,3.244,1.942,2064.236,235.848,0.99,0.5,61.77,0.545
North America,Bermuda,62092,1308.82,,,,50669.315,139.547,13.0,,82.59,
Asia,Bhutan,779900,21.188,28.6,4.885,2.977,8708.597,217.066,9.75,1.7,71.78,0.654
South America,Bolivia,11832936,10.202,25.4,6.704,4.393,6885.829,204.299,6.89,1.1,71.51,0.718
North America,Bonaire Sint Eustatius and Saba,26445,,,,,,,,,77.79,
Europe,Bosnia and Herzegovina,3263459,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,3.5,77.4,0.78
Africa,Botswana,2397240,4.044,25.8,3.941,2.242,15807.374,237.372,4.81,1.8,69.59,0.735
South America,Brazil,213993441,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,2.2,75.88,0.765
North America,British Virgin Islands,30423,207.973,,,,,,13.67,,79.07,
Asia,Brunei,441532,81.347,32.4,4.591,2.382,71809.251,201.285,12.79,2.7,75.86,0.838
Europe,Bulgaria,6896655,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,7.454,75.05,0.816
Africa,Burkina Faso,21497097,70.151,17.6,2.409,1.358,1703.102,269.048,2.42,0.4,61.58,0.452
Africa,Burundi,12255429,423.062,17.5,2.562,1.504,702.225,293.068,6.05,0.8,61.58,0.433
Asia,Cambodia,16946446,90.672,25.6,4.412,2.385,3645.07,270.892,4.0,0.8,69.82,0.594
Africa,Cameroon,27224262,50.885,18.8,3.165,1.919,3364.926,244.661,7.2,1.3,59.29,0.563
North America,Canada,38067913,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,2.5,82.43,0.929
Africa,Cape Verde,561901,135.58,25.7,4.46,3.437,6222.554,182.219,2.42,2.1,72.98,0.665
North America,Cayman Islands,66498,256.496,,,,49903.029,,13.22,,83.92,
Africa,Central African Republic,4919987,7.479,18.3,3.655,2.251,661.24,435.727,6.1,1.0,53.28,0.397
Africa,Chad,16914985,11.833,16.7,2.486,1.446,1768.153,280.995,6.1,,54.24,0.398
South America,Chile,19212362,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,2.11,80.18,0.851
Asia,China,1444216102,147.674,38.7,10.641,5.929,15308.712,261.899,9.74,4.34,76.91,0.761
South America,Colombia,51265841,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,1.71,77.29,0.767
Africa,Comoros,888456,437.352,20.4,2.963,1.726,1413.89,261.516,11.88,2.2,64.32,0.554
Africa,Congo,5657017,15.405,19.0,3.402,2.063,4881.406,344.094,7.2,,64.57,0.574
Oceania,Cook Islands,17572,,,,,,,,,76.25,
North America,Costa Rica,5139053,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,1.13,80.28,0.81
Africa,Cote d'Ivoire,27053629,76.399,18.7,2.933,1.582,3601.006,303.74,2.42,,57.78,0.538
Europe,Croatia,4081657,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,5.54,78.49,0.851
North America,Cuba,11317498,110.408,43.1,14.738,9.719,,190.968,8.27,5.2,78.8,0.783
North America,Curacao,164796,362.644,41.7,16.367,10.068,,,11.62,,78.88,
Europe,Cyprus,896005,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,3.4,80.98,0.887
Europe,Czechia,10724553,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,6.63,79.38,0.9
Africa,Democratic Republic of Congo,92377986,35.879,17.0,3.02,1.745,808.133,318.949,6.1,,60.68,0.48
Europe,Denmark,5813302,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,2.5,80.9,0.94
Africa,Djibouti,1002197,41.285,25.4,4.213,2.38,2705.406,258.037,6.05,1.4,67.11,0.524
North America,Dominica,72172,98.567,,,,9673.367,227.376,11.62,3.8,75.0,0.742
North America,Dominican Republic,10953714,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,1.6,74.08,0.756
South America,Ecuador,17888474,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,1.5,77.01,0.759
Africa,Egypt,104258327,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,1.6,71.99,0.707
North America,El Salvador,6518500,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,1.3,73.32,0.673
Africa,Equatorial Guinea,1449891,45.194,22.4,2.846,1.752,22604.873,202.812,7.78,2.1,58.74,0.592
Africa,Eritrea,3601462,44.304,19.3,3.607,2.171,1510.459,311.11,6.05,0.7,66.32,0.459
Europe,Estonia,1325188,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,4.69,78.74,0.892
